epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,61.7886,0.55936,2.39437,0.00476,1,0.74724,0.90179,0.81684,0.49704,1.48924,0.00654,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,61.8071,0.46115,2.1385,0.00337,1,0.80708,0.91824,0.85176,0.47157,1.33965,0.00623,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,63.0128,0.46953,2.28645,0.00429,0.99921,0.83333,0.94419,0.86596,0.46111,1.2018,0.00622,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,64.0212,0.49639,2.00291,0.00462,0.99921,0.83333,0.94419,0.86596,0.46111,1.2018,0.00622,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,65.1719,0.54649,2.02299,0.00449,0.99513,0.83333,0.95786,0.89747,0.4426,1.09196,0.0057,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,66.347,0.45554,1.92912,0.00417,0.99328,0.83333,0.963,0.88074,0.4866,1.00981,0.00692,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,67.4325,0.54594,1.93027,0.00525,0.98999,0.83333,0.97214,0.8706,0.53285,0.94786,0.00743,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,68.3772,0.48084,1.60108,0.0047,0.98999,0.83333,0.97214,0.8706,0.53285,0.94786,0.00743,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,69.4797,0.55633,1.90939,0.00634,0.92252,0.99272,0.98269,0.88369,0.44638,0.96644,0.00585,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,70.55,0.49403,1.98372,0.00405,0.90951,1,0.98269,0.89717,0.46418,0.91666,0.00605,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,71.6451,0.45551,1.69312,0.00383,0.90139,1,0.98269,0.86452,0.49517,0.87978,0.00669,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,72.5889,0.61007,1.55811,0.0051,0.90139,1,0.98269,0.86452,0.49517,0.87978,0.00669,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
54,73.687,0.62286,1.52537,0.00489,0.9101,1,0.98269,0.88004,0.46148,0.81576,0.0061,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,74.7922,0.49477,1.54527,0.00478,0.90455,1,0.97577,0.89673,0.42889,0.81312,0.00588,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,75.8898,0.55256,1.58335,0.00462,0.91415,1,0.98269,0.88617,0.48979,0.79648,0.00703,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,76.8409,0.45592,1.63452,0.0045,0.91415,1,0.98269,0.88617,0.48979,0.79648,0.00703,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,77.9827,0.48913,1.56539,0.00413,0.82699,1,0.97214,0.89015,0.47028,0.79425,0.00645,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,79.0751,0.54608,1.41418,0.00453,0.90096,0.83333,0.95482,0.89247,0.48119,0.83473,0.00671,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,80.1711,0.44339,1.36175,0.00351,0.84465,0.90692,0.95851,0.88561,0.41681,0.79085,0.00553,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,81.0949,0.45377,1.53906,0.00426,0.84465,0.90692,0.95851,0.88561,0.41681,0.79085,0.00553,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,82.2129,0.55601,1.43023,0.00544,1,0.83172,0.96669,0.8935,0.42737,0.7641,0.00575,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,83.2973,0.44564,1.18999,0.00395,0.85473,0.98169,0.96396,0.89032,0.41528,0.72909,0.0055,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,84.4074,0.55803,1.15805,0.00452,0.85585,0.99022,0.96396,0.89064,0.42404,0.69786,0.00574,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,85.3488,0.47132,1.39537,0.00502,0.85585,0.99022,0.96396,0.89064,0.42404,0.69786,0.00574,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,86.4329,0.513,1.16237,0.0043,0.85575,0.98942,0.9769,0.89835,0.44064,0.64165,0.00604,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,87.5962,0.47721,1.2428,0.00439,0.92209,0.98712,0.97577,0.88229,0.44919,0.61936,0.00619,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,88.6809,0.67787,1.29838,0.00805,0.91368,0.91667,0.9769,0.88344,0.46094,0.58951,0.00692,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,89.6234,0.47053,1.20873,0.00474,0.91368,0.91667,0.9769,0.88344,0.46094,0.58951,0.00692,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,90.7017,0.42128,1.30288,0.00431,1,0.98141,0.995,0.92772,0.41354,0.50779,0.00584,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,91.8687,0.45441,1.06714,0.00461,1,0.98212,0.995,0.93626,0.38366,0.47107,0.00521,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,93.0583,0.51749,1.13027,0.00378,0.9646,1,0.995,0.94323,0.37372,0.45316,0.00526,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,93.009,0.5347,1.16108,0.00426,0.9646,1,0.995,0.94323,0.37372,0.45316,0.00526,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,94.1782,0.48783,0.92378,0.00376,0.96249,1,0.995,0.93528,0.38207,0.42477,0.00505,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,95.2631,0.50692,1.17756,0.00513,0.90725,1,0.98885,0.92611,0.39946,0.41154,0.00549,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,96.3437,0.41588,1.12884,0.00387,0.91375,1,0.98269,0.91841,0.39825,0.38883,0.0053,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,97.2816,0.45829,0.93281,0.0038,0.91375,1,0.98269,0.91841,0.39825,0.38883,0.0053,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,98.3683,0.46987,0.96678,0.00494,0.91901,1,0.97577,0.91552,0.40421,0.3953,0.00541,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,99.4546,0.60288,1.22062,0.00615,0.92161,0.98095,0.98885,0.91238,0.43675,0.38186,0.00621,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,100.536,0.45169,0.95066,0.00426,0.99723,0.91667,0.98357,0.90792,0.39997,0.36742,0.00555,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,101.443,0.48971,0.91632,0.00489,0.99723,0.91667,0.98357,0.90792,0.39997,0.36742,0.00555,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,102.518,0.48576,1.04875,0.00475,1,0.91184,0.98885,0.92602,0.39475,0.33874,0.00516,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,103.624,0.39589,0.87631,0.00394,1,0.90888,0.98885,0.90093,0.39475,0.32506,0.00553,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,104.745,0.4458,0.96358,0.0043,1,0.97589,0.995,0.91461,0.41632,0.29751,0.00555,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,105.66,0.47913,0.86435,0.00362,1,0.97589,0.995,0.91461,0.41632,0.29751,0.00555,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,106.745,0.53033,0.98584,0.00429,1,0.99071,0.995,0.90699,0.40933,0.28083,0.00553,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,107.828,0.44537,0.77438,0.00435,1,0.9835,0.995,0.9268,0.38816,0.27538,0.00543,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,108.961,0.4982,1.06514,0.00473,0.99434,1,0.995,0.94524,0.40336,0.26823,0.00553,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,109.97,0.54495,1.11405,0.005,0.99434,1,0.995,0.94524,0.40336,0.26823,0.00553,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,111.128,0.45022,0.76107,0.00359,1,0.96906,0.995,0.92855,0.37139,0.26735,0.00521,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,112.197,0.41,0.90565,0.00364,0.98544,1,0.995,0.9104,0.39052,0.2492,0.00536,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,113.311,0.54439,0.86292,0.00495,1,0.97112,0.995,0.92844,0.39379,0.24376,0.00555,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,114.237,0.50334,0.77358,0.00503,1,0.97112,0.995,0.92844,0.39379,0.24376,0.00555,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
